hidden_size,L,T,acc,checkpoint
16,4,2,93.61,mnist-checkpoints/fc2_h16_L[4]_ablation_wd_l4_fc2_h16.pth
32,4,2,96.02,mnist-checkpoints/fc2_h32_L[4]_ablation_wd_l4_fc2_h32.pth
64,4,2,96.72,mnist-checkpoints/fc2_h64_L[4]_ablation_wd_l4_fc2_h64.pth
128,4,2,97.2,mnist-checkpoints/fc2_h128_L[4]_ablation_wd_l4_fc2_h128.pth
256,4,2,97.08,mnist-checkpoints/fc2_L[4]_ablation_wd_l4_fc2.pth
512,4,2,97.1,mnist-checkpoints/fc2_h512_L[4]_ablation_wd_l4_fc2_h512.pth
16,4,4,94.85,mnist-checkpoints/fc2_h16_L[4]_ablation_wd_l4_fc2_h16.pth
32,4,4,97.16,mnist-checkpoints/fc2_h32_L[4]_ablation_wd_l4_fc2_h32.pth
64,4,4,97.57,mnist-checkpoints/fc2_h64_L[4]_ablation_wd_l4_fc2_h64.pth
128,4,4,97.89,mnist-checkpoints/fc2_h128_L[4]_ablation_wd_l4_fc2_h128.pth
256,4,4,97.97,mnist-checkpoints/fc2_L[4]_ablation_wd_l4_fc2.pth
512,4,4,97.69,mnist-checkpoints/fc2_h512_L[4]_ablation_wd_l4_fc2_h512.pth
16,4,8,95.01,mnist-checkpoints/fc2_h16_L[4]_ablation_wd_l4_fc2_h16.pth
32,4,8,97.08,mnist-checkpoints/fc2_h32_L[4]_ablation_wd_l4_fc2_h32.pth
64,4,8,97.74,mnist-checkpoints/fc2_h64_L[4]_ablation_wd_l4_fc2_h64.pth
128,4,8,97.96,mnist-checkpoints/fc2_h128_L[4]_ablation_wd_l4_fc2_h128.pth
256,4,8,97.98,mnist-checkpoints/fc2_L[4]_ablation_wd_l4_fc2.pth
512,4,8,97.74,mnist-checkpoints/fc2_h512_L[4]_ablation_wd_l4_fc2_h512.pth
16,4,16,95.03,mnist-checkpoints/fc2_h16_L[4]_ablation_wd_l4_fc2_h16.pth
32,4,16,97.08,mnist-checkpoints/fc2_h32_L[4]_ablation_wd_l4_fc2_h32.pth
64,4,16,97.7,mnist-checkpoints/fc2_h64_L[4]_ablation_wd_l4_fc2_h64.pth
128,4,16,98.07,mnist-checkpoints/fc2_h128_L[4]_ablation_wd_l4_fc2_h128.pth
256,4,16,98.01,mnist-checkpoints/fc2_L[4]_ablation_wd_l4_fc2.pth
512,4,16,97.76,mnist-checkpoints/fc2_h512_L[4]_ablation_wd_l4_fc2_h512.pth
16,4,32,94.98,mnist-checkpoints/fc2_h16_L[4]_ablation_wd_l4_fc2_h16.pth
32,4,32,97.15,mnist-checkpoints/fc2_h32_L[4]_ablation_wd_l4_fc2_h32.pth
64,4,32,97.7,mnist-checkpoints/fc2_h64_L[4]_ablation_wd_l4_fc2_h64.pth
128,4,32,98.1,mnist-checkpoints/fc2_h128_L[4]_ablation_wd_l4_fc2_h128.pth
256,4,32,98.02,mnist-checkpoints/fc2_L[4]_ablation_wd_l4_fc2.pth
512,4,32,97.82,mnist-checkpoints/fc2_h512_L[4]_ablation_wd_l4_fc2_h512.pth
16,16,2,91.85,mnist-checkpoints/fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth
32,16,2,94.26,mnist-checkpoints/fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth
64,16,2,96.65,mnist-checkpoints/fc2_h64_L[16]_ablation_wd_l16_fc2_h64.pth
128,16,2,96.81,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h128/fc2_h128_L[16]_ablation_wd_l16_fc2_h128.pth
256,16,2,96.59,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth
512,16,2,97.07,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h512/fc2_h512_L[16]_ablation_wd_l16_fc2_h512.pth
16,16,4,93.61,mnist-checkpoints/fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth
32,16,4,96.14,mnist-checkpoints/fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth
64,16,4,97.63,mnist-checkpoints/fc2_h64_L[16]_ablation_wd_l16_fc2_h64.pth
128,16,4,97.57,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h128/fc2_h128_L[16]_ablation_wd_l16_fc2_h128.pth
256,16,4,97.48,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth
512,16,4,97.75,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h512/fc2_h512_L[16]_ablation_wd_l16_fc2_h512.pth
16,16,8,94.19,mnist-checkpoints/fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth
32,16,8,96.45,mnist-checkpoints/fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth
64,16,8,97.86,mnist-checkpoints/fc2_h64_L[16]_ablation_wd_l16_fc2_h64.pth
128,16,8,97.89,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h128/fc2_h128_L[16]_ablation_wd_l16_fc2_h128.pth
256,16,8,97.67,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth
512,16,8,97.84,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h512/fc2_h512_L[16]_ablation_wd_l16_fc2_h512.pth
16,16,16,94.25,mnist-checkpoints/fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth
32,16,16,96.59,mnist-checkpoints/fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth
64,16,16,97.93,mnist-checkpoints/fc2_h64_L[16]_ablation_wd_l16_fc2_h64.pth
128,16,16,97.93,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h128/fc2_h128_L[16]_ablation_wd_l16_fc2_h128.pth
256,16,16,97.8,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth
512,16,16,97.92,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h512/fc2_h512_L[16]_ablation_wd_l16_fc2_h512.pth
16,16,32,94.11,mnist-checkpoints/fc2_h16_L[16]_ablation_wd_l16_fc2_h16.pth
32,16,32,96.55,mnist-checkpoints/fc2_h32_L[16]_ablation_wd_l16_fc2_h32.pth
64,16,32,97.93,mnist-checkpoints/fc2_h64_L[16]_ablation_wd_l16_fc2_h64.pth
128,16,32,97.89,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h128/fc2_h128_L[16]_ablation_wd_l16_fc2_h128.pth
256,16,32,97.79,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2/fc2_L[16]_ablation_wd_l16_fc2.pth
512,16,32,97.95,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h512/fc2_h512_L[16]_ablation_wd_l16_fc2_h512.pth
